SOC Code,title,ai_applicability_score,Employment 2024 (Thousands),Employment 2034 (Thousands),"Employment Change, 2024-2034 (Thousands)","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average",Median Annual Wage 2024,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
33-3041,Parking Enforcement Workers,0.1595757617,8.4,8.2,-0.1,-1.5,0.7,"47,150",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
33-3051,Police and Sheriff's Patrol Officers,0.156793189,698.8,720.8,22,3.1,53.7,"76,290",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
33-3052,Transit and Railroad Police,0.09055008992,3.1,3.2,0.1,3,0.2,"82,320",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
33-9011,Animal Control Workers,0.2077313245,12.2,12.7,0.5,3.9,1.3,"45,830",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
33-9021,Private Detectives and Investigators,0.1894745841,43.6,46.2,2.6,6,3.9,"52,370",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,
33-9031,Gambling Surveillance Officers and Gambling Investigators,0.1564933371,10.3,10.3,0,0.3,1.3,"43,900",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,
33-9032,Security Guards,0.1519053192,"1,262.10","1,267.10",5.1,0.4,161,"38,370",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
33-9091,Crossing Guards and Flaggers,0.2140802013,91.4,94.7,3.3,3.6,18,"37,700",No formal educational credential,8,None,4,Short-term on-the-job training,
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.04422358782,149.7,158.4,8.7,5.8,42.7,"33,720",No formal educational credential,8,None,4,Short-term on-the-job training,
33-9093,Transportation Security Screeners,0.2247596883,50.1,47.1,-3,-6,4.7,"63,360",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
33-9094,School Bus Monitors,0.306742032,71.4,69.5,-2,-2.7,12.6,"34,980",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
33-9099,"Protective Service Workers, All Other",0.05374376465,84,86.1,2.1,2.5,23.3,"41,600",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
35-1011,Chefs and Head Cooks,0.1568799414,197.3,211.3,14,7.1,24.4,"60,990",High school diploma or equivalent,7,5 years or more,1,None,
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,0.139970193,"1,215.00","1,288.00",73,6,183.9,"42,010",High school diploma or equivalent,7,Less than 5 years,2,None,
35-2011,"Cooks, Fast Food",0.1911275761,669.5,579.2,-90.3,-13.5,82.1,"30,160",No formal educational credential,8,None,4,Short-term on-the-job training,
35-2012,"Cooks, Institution and Cafeteria",0.07204160945,466.1,475.4,9.3,2,69.7,"36,450",No formal educational credential,8,None,4,Short-term on-the-job training,
35-2013,"Cooks, Private Household",0.2603552477,34.2,36,1.7,5.1,5.3,"44,530",Postsecondary nondegree award,5,Less than 5 years,2,None,
35-2014,"Cooks, Restaurant",0.1724963431,"1,460.20","1,677.20",217,14.9,250.7,"36,830",No formal educational credential,8,Less than 5 years,2,Moderate-term on-the-job training,
35-2015,"Cooks, Short Order",0.1418831817,151.1,142.7,-8.4,-5.6,20.6,"35,620",No formal educational credential,8,None,4,Short-term on-the-job training,
35-2021,Food Preparation Workers,0.1490145407,902.7,871.8,-30.9,-3.4,148,"34,220",No formal educational credential,8,None,4,Short-term on-the-job training,
35-3011,Bartenders,0.184648589,756.7,801.5,44.8,5.9,129.6,"33,530",No formal educational credential,8,None,4,Short-term on-the-job training,
35-3023,Fast Food and Counter Workers,0.1693810219,"3,796.00","4,029.20",233.2,6.1,904.3,"30,480",No formal educational credential,8,None,4,Short-term on-the-job training,
35-3031,Waiters and Waitresses,0.2992029242,"2,329.70","2,313.50",-16.3,-0.7,456.7,"33,760",No formal educational credential,8,None,4,Short-term on-the-job training,
35-3041,"Food Servers, Nonrestaurant",0.1275828176,277.2,285.3,8.2,3,48,"34,460",No formal educational credential,8,None,4,Short-term on-the-job training,
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,0.08779156607,527.4,560.6,33.1,6.3,99.6,"32,670",No formal educational credential,8,None,4,Short-term on-the-job training,
35-9021,Dishwashers,0.01759048774,477.7,478.6,0.9,0.2,76.8,"33,670",No formal educational credential,8,None,4,Short-term on-the-job training,
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.3680700926,429.9,423.5,-6.4,-1.5,107.7,"30,380",No formal educational credential,8,None,4,Short-term on-the-job training,
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,0.1668788461,269.8,276.4,6.7,2.5,33,"47,520",High school diploma or equivalent,7,Less than 5 years,2,None,
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.1200807655,224.7,230,5.2,2.3,23.2,"56,170",High school diploma or equivalent,7,Less than 5 years,2,None,
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.1075530728,"2,447.70","2,495.50",47.8,2,351.3,"35,930",No formal educational credential,8,None,4,Short-term on-the-job training,
37-2012,Maids and Housekeeping Cleaners,0.008116294982,"1,356.80","1,362.80",6,0.4,193.5,"34,660",No formal educational credential,8,None,4,Short-term on-the-job training,
37-2021,Pest Control Workers,0.1179459438,102.4,107.5,5.1,4.9,13.4,"44,730",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
37-3011,Landscaping and Groundskeeping Workers,0.04892547907,"1,192.50","1,235.00",42.4,3.6,158.2,"38,090",No formal educational credential,8,None,4,Short-term on-the-job training,
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.08903794637,29.6,30.7,1.1,3.8,4.1,"45,200",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
37-3013,Tree Trimmers and Pruners,0.03007783769,60.1,62.1,2,3.3,7.4,"50,430",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
39-1013,First-Line Supervisors of Gambling Services Workers,0.2783197986,32.5,33.1,0.6,2,3.3,"61,590",High school diploma or equivalent,7,Less than 5 years,2,None,
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",0.2513820124,123.3,131.1,7.8,6.3,13.4,"46,900",High school diploma or equivalent,7,Less than 5 years,2,None,
39-1022,First-Line Supervisors of Personal Service Workers,0.2908214437,149.1,159.1,10,6.7,16.3,"47,080",High school diploma or equivalent,7,Less than 5 years,2,None,
39-2011,Animal Trainers,0.05767171745,47.3,49.8,2.4,5.1,7.1,"38,750",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
39-2021,Animal Caretakers,0.2493175531,392.1,439.6,47.6,12.1,74.6,"33,470",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
39-3011,Gambling Dealers,0.3390982538,88.7,88.1,-0.6,-0.6,14.1,"33,280",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
39-3012,Gambling and Sports Book Writers and Runners,0.2943236683,8.2,7.7,-0.5,-6.1,1.2,"30,460",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
39-3021,Motion Picture Projectionists,0.0520934368,2,2,-0.1,-3.7,0.5,"38,180",No formal educational credential,8,None,4,Short-term on-the-job training,
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",0.2530730648,121.7,123.1,1.4,1.2,30.8,"31,150",No formal educational credential,8,None,4,Short-term on-the-job training,
39-3091,Amusement and Recreation Attendants,0.3141148066,392.3,405.5,13.2,3.4,102.4,"30,490",No formal educational credential,8,None,4,Short-term on-the-job training,
39-3092,Costume Attendants,0.1290190889,6.7,7.1,0.4,5.9,1.8,"54,810",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",0.2194909638,15.6,16.6,1,6.4,4.2,"34,800",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
39-4011,Embalmers,0.02691665212,3.6,3.7,0,1.3,0.6,"56,280",Associate's degree,4,None,4,Long-term on-the-job training,
39-4012,Crematory Operators,0.1274743509,3.1,3.2,0.1,3.3,0.6,"42,880",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
39-4021,Funeral Attendants,0.2000109339,32.5,33.5,1,3.1,5.7,"34,610",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
39-4031,"Morticians, Undertakers, and Funeral Arrangers",0.1125513269,27.5,28.4,0.8,3.1,3.2,"49,800",Associate's degree,4,None,4,Long-term on-the-job training,
39-5011,Barbers,0.09956607803,76,79.2,3.1,4.1,8.4,"38,960",Postsecondary nondegree award,5,None,4,None,
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",0.08980915661,575.2,607.4,32.2,5.6,75.8,"35,250",Postsecondary nondegree award,5,None,4,None,
39-5091,"Makeup Artists, Theatrical and Performance",0.1431784773,7,7.6,0.6,8.1,1.1,"50,280",Postsecondary nondegree award,5,None,4,None,
39-5092,Manicurists and Pedicurists,0.03724695055,210.1,224.8,14.7,7,24.8,"34,660",Postsecondary nondegree award,5,None,4,None,
39-5093,Shampooers,0.09174923893,18.5,19.6,1,5.5,2.7,"31,470",No formal educational credential,8,None,4,Short-term on-the-job training,
39-5094,Skincare Specialists,0.1105480068,97.4,103.9,6.6,6.7,14.5,"41,560",Postsecondary nondegree award,5,None,4,None,
39-6011,Baggage Porters and Bellhops,0.1999269572,32.5,32,-0.5,-1.6,4.6,"36,020",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
39-6012,Concierges,0.4039377211,45.6,46.7,1.1,2.3,6.8,"37,320",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
39-7010,Tour and Travel Guides,0.3419019504,55.8,60.3,4.5,8.1,13,"36,660",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
39-9011,Childcare Workers,0.1735900835,991.6,962.4,-29.2,-2.9,160.2,"32,050",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
39-9031,Exercise Trainers and Group Fitness Instructors,0.1373352535,370.1,414.2,44.1,11.9,74.2,"46,180",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
39-9032,Recreation Workers,0.2152857672,327.7,341.1,13.4,4.1,68.1,"35,380",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
39-9041,Residential Advisors,0.1475726214,91.2,94.7,3.5,3.8,17.4,"39,180",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
41-1011,First-Line Supervisors of Retail Sales Workers,0.130094837,"1,432.60","1,360.30",-72.3,-5,125.1,"47,320",High school diploma or equivalent,7,Less than 5 years,2,None,
41-1012,First-Line Supervisors of Non-Retail Sales Workers,0.1694501446,320,320,0,0,24.8,"84,130",High school diploma or equivalent,7,Less than 5 years,2,None,
41-2011,Cashiers,0.3304210688,"3,157.20","2,843.60",-313.6,-9.9,542.6,"31,190",No formal educational credential,8,None,4,Short-term on-the-job training,
41-2012,Gambling Change Persons and Booth Cashiers,0.159435923,22.6,21.1,-1.5,-6.4,4,"34,810",No formal educational credential,8,None,4,Short-term on-the-job training,
41-2021,Counter and Rental Clerks,0.3574297738,408.2,421.3,13.1,3.2,45.9,"38,540",No formal educational credential,8,None,4,Short-term on-the-job training,
41-2022,Parts Salespersons,0.2570143609,272.1,280.6,8.5,3.1,30.2,"37,440",No formal educational credential,8,None,4,Moderate-term on-the-job training,
41-2031,Retail Salespersons,0.3362365781,"3,936.70","3,917.10",-19.6,-0.5,555.8,"34,580",No formal educational credential,8,None,4,Short-term on-the-job training,
41-3011,Advertising Sales Agents,0.3629640105,103.7,97.1,-6.6,-6.4,9.3,"61,460",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
41-3021,Insurance Sales Agents,0.2399439464,568.8,589.8,21.1,3.7,47,"60,370",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
41-3031,"Securities, Commodities, and Financial Services Sales Agents",0.2318186067,514.5,531.6,17.1,3.3,38.1,"78,140",Bachelor's degree,3,None,4,Moderate-term on-the-job training,
41-3041,Travel Agents,0.2558324036,65.7,67.2,1.4,2.2,7.1,"48,450",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",0.459810459,"1,226.70","1,264.70",37.9,3.1,123,"66,260",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.3211080326,303.2,308.9,5.7,1.9,27.2,"100,070",Bachelor's degree,3,None,4,Moderate-term on-the-job training,
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.3323979355,"1,310.50","1,314.90",4.4,0.3,114.8,"66,780",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
41-9011,Demonstrators and Product Promoters,0.3652091568,79.2,79.1,-0.1,-0.1,14,"37,960",No formal educational credential,8,None,4,Short-term on-the-job training,
41-9012,Models,0.3508831658,6.7,6.7,0,-0.5,1.2,"89,990",No formal educational credential,8,None,4,None,
41-9021,Real Estate Brokers,0.2494334637,111.3,115,3.7,3.3,9.7,"72,280",High school diploma or equivalent,7,Less than 5 years,2,None,
41-9022,Real Estate Sales Agents,0.2863723865,420.9,433.7,12.8,3.1,36.6,"56,320",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
41-9031,Sales Engineers,0.3131164773,56.8,59.9,3.1,5.5,5,"121,520",Bachelor's degree,3,None,4,Moderate-term on-the-job training,
41-9041,Telemarketers,0.404479881,67.4,52.5,-14.9,-22.1,6.5,"34,410",No formal educational credential,8,None,4,Short-term on-the-job training,
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.3187895732,25.3,22.8,-2.5,-10,2.7,"34,530",No formal educational credential,8,None,4,Short-term on-the-job training,
43-1011,First-Line Supervisors of Office and Administrative Support Workers,0.2454826826,"1,558.40","1,554.40",-3.9,-0.3,144.5,"66,140",High school diploma or equivalent,7,Less than 5 years,2,None,
43-2011,"Switchboard Operators, Including Answering Service",0.3455313952,36.6,27,-9.6,-26.3,2.8,"38,370",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-2021,Telephone Operators,0.4176514696,4,2.9,-1.1,-27.5,0.3,"39,130",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-3011,Bill and Account Collectors,0.2381807548,166.9,149.4,-17.5,-10.5,13.7,"46,040",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
43-3021,Billing and Posting Clerks,0.2293833481,429.8,427.9,-1.9,-0.4,42.2,"47,170",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",0.2760486308,"1,613.40","1,519.10",-94.3,-5.8,170,"49,210","Some college, no degree",6,None,4,Moderate-term on-the-job training,
43-3041,Gambling Cage Workers,0.222917408,14.1,13.4,-0.7,-5,1.3,"36,990",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-3051,Payroll and Timekeeping Clerks,0.2356511652,161.1,134.2,-27,-16.7,13,"55,290",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
43-3061,Procurement Clerks,0.2564595585,61.9,56.6,-5.4,-8.7,4.6,"48,510",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
43-3071,Tellers,0.2978949442,347.4,302.5,-44.9,-12.9,29.8,"39,340",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-4011,Brokerage Clerks,0.4122568938,40.8,36.9,-3.9,-9.5,4.1,"62,940",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
43-4021,Correspondence Clerks,0.3170669518,6.9,6.5,-0.4,-5.6,0.7,"46,740",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-4031,"Court, Municipal, and License Clerks",0.2827637379,180.4,185.9,5.5,3,18.5,"47,700",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
43-4041,"Credit Authorizers, Checkers, and Clerks",0.1927100123,12,11.3,-0.7,-6.2,1,"49,130",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
43-4051,Customer Service Representatives,0.440279085,"2,814.00","2,660.30",-153.7,-5.5,341.7,"42,830",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-4061,"Eligibility Interviewers, Government Programs",0.2832000788,166.8,168.5,1.7,1,14,"51,500",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
43-4071,File Clerks,0.3097588777,84.3,70.9,-13.4,-15.9,7.3,"41,270",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-4081,"Hotel, Motel, and Resort Desk Clerks",0.2738846453,264.2,274,9.9,3.7,43.6,"34,270",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-4111,"Interviewers, Except Eligibility and Loan",0.2402797446,164.3,145.1,-19.1,-11.6,15.8,"43,830",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-4121,"Library Assistants, Clerical",0.1899121738,84.5,78.9,-5.6,-6.7,12.8,"36,010",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-4131,Loan Interviewers and Clerks,0.2954918774,177.6,173.5,-4.1,-2.3,13.3,"48,950",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-4141,New Accounts Clerks,0.3597827154,38.9,33.8,-5.2,-13.2,2.3,"46,610",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
43-4151,Order Clerks,0.3260752815,89.5,74.1,-15.4,-17.2,8,"44,660","Some college, no degree",6,None,4,Short-term on-the-job training,
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",0.2293396774,95.2,88.4,-6.8,-7.1,9,"49,440",Associate's degree,4,None,4,None,
43-4171,Receptionists and Information Clerks,0.287663292,"1,007.20","1,007.60",0.3,0,128.5,"37,230",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,0.4151666107,131.9,135.6,3.7,2.8,14.4,"41,460",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-5011,Cargo and Freight Agents,0.2134007165,100.6,109.2,8.6,8.5,8.8,"49,900",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-5021,Couriers and Messengers,0.14575126,247.2,267.6,20.4,8.2,27.9,"38,340",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-5031,Public Safety Telecommunicators,0.3488763875,105.2,108.9,3.6,3.5,10.7,"50,730",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",0.2366414496,218.7,216.7,-2.1,-0.9,18.5,"48,880",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
43-5041,"Meter Readers, Utilities",0.260728237,20.1,17.7,-2.4,-12,1.3,"49,180",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-5051,Postal Service Clerks,0.2371100852,74.2,71.6,-2.6,-3.5,6.1,"61,630",No formal educational credential,8,None,4,Short-term on-the-job training,
43-5052,Postal Service Mail Carriers,0.1641490833,319.4,308.1,-11.3,-3.5,20.6,"57,490",No formal educational credential,8,None,4,Short-term on-the-job training,
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.09451453199,106.4,97.5,-8.9,-8.4,7.8,"56,530",No formal educational credential,8,None,4,Short-term on-the-job training,
43-5061,"Production, Planning, and Expediting Clerks",0.26305686,388.8,381.7,-7.1,-1.8,34.1,"57,770",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
43-5071,"Shipping, Receiving, and Inventory Clerks",0.1838622823,862.2,795.8,-66.3,-7.7,69.3,"43,190",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.09908733421,49.8,47.4,-2.4,-4.8,5.3,"45,650",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-6011,Executive Secretaries and Executive Administrative Assistants,0.2909000689,502.8,494.9,-7.9,-1.6,50,"74,260",High school diploma or equivalent,7,Less than 5 years,2,None,
43-6012,Legal Secretaries and Administrative Assistants,0.2331363101,156.3,147.3,-9,-5.8,19.6,"54,140",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
43-6013,Medical Secretaries and Administrative Assistants,0.2247161322,850,885.3,35.3,4.2,85.9,"44,640",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.2855628595,"1,944.00","1,913.20",-30.8,-1.6,202.8,"46,290",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-9021,Data Entry Keyers,0.3428465551,141.6,104.9,-36.7,-25.9,9.5,"39,850",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-9022,Word Processors and Typists,0.3260354808,40,25.6,-14.4,-36.1,2.2,"47,850",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-9031,Desktop Publishers,0.3321240604,5,4.4,-0.6,-12.4,0.4,"53,620",Associate's degree,4,None,4,Short-term on-the-job training,
43-9041,Insurance Claims and Policy Processing Clerks,0.3239551274,256.7,247.2,-9.5,-3.7,20.3,"48,450",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.08936537849,67.4,62.9,-4.4,-6.6,6.9,"38,150",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-9061,"Office Clerks, General",0.2912371033,"2,646.00","2,468.20",-177.8,-6.7,282.4,"43,630",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-9071,"Office Machine Operators, Except Computer",0.19229804,25.5,21.6,-3.9,-15.2,2.8,"39,020",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
43-9081,Proofreaders and Copy Markers,0.3825274847,12,11.9,-0.1,-0.6,1.9,"49,210",Bachelor's degree,3,None,4,None,
43-9111,Statistical Assistants,0.3588121546,6.5,6.3,-0.2,-2.5,0.8,"51,440",Bachelor's degree,3,None,4,None,
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.0770972916,65.4,67,1.6,2.5,8.5,"59,330",High school diploma or equivalent,7,Less than 5 years,2,None,
45-2011,Agricultural Inspectors,0.08936672151,14.7,14.9,0.2,1.5,2.2,"50,990",Bachelor's degree,3,None,4,Moderate-term on-the-job training,
45-2021,Animal Breeders,0.1817561256,7.9,8.1,0.2,2.4,1.2,"52,000",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
45-2041,"Graders and Sorters, Agricultural Products",0.03850300516,38.9,36.8,-2.1,-5.4,5.1,"35,430",No formal educational credential,8,None,4,Short-term on-the-job training,
45-2091,Agricultural Equipment Operators,0.0912507427,65.2,70.3,5,7.7,10.5,"42,580",No formal educational credential,8,None,4,Moderate-term on-the-job training,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.04784828081,504.8,488.1,-16.8,-3.3,71.7,"35,690",No formal educational credential,8,None,4,Short-term on-the-job training,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.1439467269,224.6,213.4,-11.1,-5,31.2,"36,150",No formal educational credential,8,None,4,Short-term on-the-job training,
45-3031,Fishing and hunting workers,0.06462523921,21.9,20.9,-1,-4.6,2.8,N/A,No formal educational credential,8,None,4,Moderate-term on-the-job training,
45-4011,Forest and Conservation Workers,0.07988602932,10.8,10.3,-0.5,-4.7,2,"43,680",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
45-4021,Fallers,0.07491913788,5.6,5.2,-0.4,-7.3,0.7,"53,900",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
45-4022,Logging Equipment Operators,0.005233483311,30.9,30.5,-0.4,-1.4,4.2,"49,210",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
45-4023,Log Graders and Scalers,0.06081542788,4.6,4.6,0,-0.7,0.6,"46,710",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,0.1147818873,921.6,970.6,49,5.3,74.4,"78,690",High school diploma or equivalent,7,5 years or more,1,None,
47-2011,Boilermakers,0.04110405623,10.4,10.1,-0.2,-2.4,0.8,"73,340",High school diploma or equivalent,7,None,4,Apprenticeship,
47-2021,Brickmasons and Blockmasons,0.1101328355,74.1,76.4,2.4,3.2,5.6,"60,800",High school diploma or equivalent,7,None,4,Apprenticeship,
47-2022,Stonemasons,0.03025972487,12.1,11.8,-0.4,-3,0.8,"51,990",High school diploma or equivalent,7,None,4,Apprenticeship,
47-2031,Carpenters,0.05573789887,959,"1,002.10",43.1,4.5,74.1,"59,310",High school diploma or equivalent,7,None,4,Apprenticeship,
47-2041,Carpet Installers,0.07106846246,20.3,18.3,-1.9,-9.6,1.1,"49,850",No formal educational credential,8,None,4,Short-term on-the-job training,
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",0.0355703756,33.7,36.9,3.2,9.5,2.7,"54,340",No formal educational credential,8,None,4,Moderate-term on-the-job training,
47-2043,Floor Sanders and Finishers,0,5.6,5.8,0.1,2.6,0.4,"49,150",No formal educational credential,8,None,4,Moderate-term on-the-job training,
47-2044,Tile and Stone Setters,0.08407749643,52.6,58,5.3,10.1,4.2,"52,240",No formal educational credential,8,None,4,Long-term on-the-job training,
47-2051,Cement Masons and Concrete Finishers,0.01518099254,206.7,210.4,3.8,1.8,14.3,"54,660",No formal educational credential,8,None,4,Moderate-term on-the-job training,
47-2053,Terrazzo Workers and Finishers,0.08342904036,1.5,1.3,-0.2,-11.1,0.1,"57,260",High school diploma or equivalent,7,None,4,Apprenticeship,
47-2061,Construction Laborers,0.03007280876,"1,457.00","1,563.40",106.5,7.3,129.4,"46,730",No formal educational credential,8,None,4,Short-term on-the-job training,
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",0.006875434613,47,48.6,1.5,3.2,4,"51,650",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
47-2072,Pile Driver Operators,0,3.2,3.3,0.1,4.3,0.3,"70,510",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
47-2073,Operating Engineers and Other Construction Equipment Operators,0.101250999,489.3,507.1,17.8,3.6,41.9,"58,710",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
47-2081,Drywall and Ceiling Tile Installers,0.04247291852,103.1,107.4,4.3,4.2,7.7,"58,140",No formal educational credential,8,None,4,Moderate-term on-the-job training,
47-2082,Tapers,0.05015068682,15.6,15.6,0,0.1,1.1,"64,700",No formal educational credential,8,None,4,Moderate-term on-the-job training,
47-2111,Electricians,0.1509300713,818.7,896.1,77.4,9.5,81,"62,350",High school diploma or equivalent,7,None,4,Apprenticeship,
47-2121,Glaziers,0.05309261512,60.5,62.5,2,3.3,5.1,"55,440",High school diploma or equivalent,7,None,4,Apprenticeship,
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",0.07436156917,40.2,41.7,1.5,3.8,3.4,"48,680",No formal educational credential,8,None,4,Short-term on-the-job training,
47-2132,"Insulation Workers, Mechanical",0.1395733592,27.2,28.5,1.3,4.7,2.3,"57,250",High school diploma or equivalent,7,None,4,Apprenticeship,
47-2141,"Painters, Construction and Maintenance",0.09285656354,342.2,355.2,13,3.8,28.1,"48,660",No formal educational credential,8,None,4,Moderate-term on-the-job training,
47-2142,Paperhangers,0.08292652485,2.3,2.5,0.1,5.3,0.2,"48,260",No formal educational credential,8,None,4,Long-term on-the-job training,
47-2151,Pipelayers,0.05166765325,34.4,32.9,-1.4,-4.1,2.4,"48,710",No formal educational credential,8,None,4,Short-term on-the-job training,
47-2152,"Plumbers, Pipefitters, and Steamfitters",0.08053409204,504.5,527.2,22.7,4.5,44,"62,970",High school diploma or equivalent,7,None,4,Apprenticeship,
