"Occupation Title","Occupation Code","Employment 2024","Employment 2034","Employment Change, 2024-2034","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average","Median Annual Wage 2024","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters    * Adobe Layer Helper* Brick Carrier* Brick Washer* Bricklayer Helper* Ceramic Tile Installation Helper* Chimney Builder Helper* Firebrick Layer Helper* Marble Installation Helper* Mortar Mixer* Parquet Floor Layer's Helper* Refractory Tile Helper* Wood Tile Installation Helper","=""47-3011""","16.1","14.4","-1.7","-10.5","1.4","46,480","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Helpers--carpenters    * Beam Builder Helper* Building Carpenter Helper* Carpenter Assistant* Carpenter Helper* Construction Carpenters Helper* Hardwood Floor Installation Helper* House Carpenter Helper","=""47-3012""","25.2","26.4","1.1","4.5","2.7","41,600","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Helpers--electricians    * Electrical Sign Wirer Helper* Electrician's Assistant* House Wirer Helper* Marine Electrician Helper* Stage Electrician Helper* Utilities Ground Worker","=""47-3013""","66.6","66.7","0.1","0.2","6.8","39,890","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Helpers--extraction workers    * Blaster Helper* Blasting Helper* Boring Machine Operator Helper* Continuous Miner Operator Helper* Driller Helper* Loading Machine Operator Helper* Longwall Machine Operator Helper* Mining Helper* Roof Bolter Helper* Rotary Drill Operator Helper* Shale Planer Operator Helper","=""47-5081""","7.0","6.9","-0.1","-1.7","0.7","48,400","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Helpers--installation, maintenance, and repair workers    * Automobile Body Repairer Helper* Cable Splicer Helper* Hydroelectric Machinery Mechanic Helper* Locksmith Helper* Logging Equipment Mechanic Helper* Mechanic's Assistant* Meter Repairer Helper* Motorboat Mechanic Helper* Powerhouse Mechanic Helper* Streetcar Repairer Helper","=""49-9098""","98.7","101.0","2.2","2.3","11.8","38,860","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Helpers--painters, paperhangers, plasterers, and stucco masons    * Billboard Poster Helper* Bridge Painter Helper* Dry Plasterer Helper* Highway Painter Helper* House Painter Helper* Ornamental Plasterer Helper* Plaster Tender* Ship Painter Helper* Swimming Pool Plasterer Helper* Wallpaper Hanger Helper* Wallpaperer Helper","=""47-3014""","7.4","7.6","0.2","2.3","0.8","38,140","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters    * Gas Main Fitter Helper* Hydraulic Plumber Helper* Industrial Gas Fitter Helper* Marine Pipefitter Helper* Marine Steam Fitter Helper* Pipe Fitter Helper* Plumber Assistant* Plumber Helper* Sewer Pipe Layer Helper* Sprinkler Fitter Helper* Trench Pipe Layer Helper* Water Main Installer Helper","=""47-3015""","45.3","47.5","2.2","4.9","4.9","39,270","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Helpers--production workers    * Blending Tank Helper* Commercial Baker Helper* Machinist Helper* Slitter Helper* Tailor Helper* Welder Helper* Woodworker Helper","=""51-9198""","168.5","153.5","-15.0","-8.9","23.6","38,220","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Helpers--roofers    * Hot Tar Roofer Helper* Industrial Roofer Helper* Residential Roofer Helper* Roofer Assistant* Roofer Helper* Roofing Laborer* Shingles Roofer Helper* Slate Roofer Helper* Terra Cotta Roofer Helper","=""47-3016""","5.2","5.5","0.3","5.7","0.6","40,590","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Highway maintenance workers    * Highway Maintainer* Highway Maintenance Crew Worker* Highway Worker* Lane Marker Installer* Road Patcher* Road Sign Installer","=""47-4051""","159.1","163.9","4.8","3.0","12.3","49,070","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Historians    * Genealogist* Historiographer* Protohistorian","=""19-3093""","3.4","3.5","0.1","2.2","0.3","74,050","Master's degree","2","None","4","None","6"
"History teachers, postsecondary    * African History Professor* American History Professor* Historiography Professor* Jewish History Professor* Russian History Professor* South Asian History Professor","=""25-1125""","24.6","24.6","-0.1","-0.2","1.7","81,500","Doctoral or professional degree","1","None","4","None","6"
"Hoist and winch operators    * Hoist Operator* Winch Derrick Operator* Winch Operator","=""53-7041""","2.7","2.7","0.0","-1.1","0.3","52,310","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Home appliance repairers    * Certified Appliance Service Technician* Electric Stove Installer* Gas Appliance Repairer* Gas Appliance Servicer* Home Appliance Installer* Stove Installer* Vacuum Cleaner Repair Person* Vacuum Cleaner Repairer* Washing Machine Installer* Washing Machine Repairer* Window Air Conditioner Installer","=""49-9031""","37.3","38.3","1.0","2.6","3.1","49,410","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Home health and personal care aides","=""31-1120""","4,347.7","5,087.5","739.8","17.0","765.8","34,900","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Hosts and hostesses, restaurant, lounge, and coffee shop    * Bar Host/Hostess* Bar Hostess* Dining Room Host* Dining Room Host/Hostess* Maitre D'* Tearoom Host/Hostess* Tearoom Hostess","=""35-9031""","429.9","423.5","-6.4","-1.5","107.7","30,380","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Hotel, motel, and resort desk clerks    * Assistant Innkeeper* Hotel Desk Clerk* Hotel Front Desk Clerk* Hotel Registration Clerk* Motel Clerk* Motel Front Desk Attendant* Resort Desk Clerk","=""43-4081""","264.2","274.0","9.9","3.7","43.6","34,270","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Human resources assistants, except payroll and timekeeping    * Employment Clerk* HR Clerk* Personnel Clerk","=""43-4161""","95.2","88.4","-6.8","-7.1","9.0","49,440","Associate's degree","4","None","4","None","6"
"Human resources managers    * Employee Relations Manager* Job Analysis Manager* Labor Relations Director* Personnel Administrator* Personnel Director* Personnel Manager* Position Description Manager","=""11-3121""","221.9","233.0","11.1","5.0","17.9","140,030","Bachelor's degree","3","5 years or more","1","None","6"
"Human resources specialists    * Corporate Recruiter* Credentialing Coordinator* Employee Placement Specialist* Human Resources Generalist* Job Placement Officer* Job Placement Specialist* Job Recruiter* Personnel Coordinator* Personnel Officer* Personnel Recruiter* Personnel Specialist* Staffing Coordinator* Student Recruiter* Volunteer Coordinator","=""13-1071""","944.3","1,002.7","58.4","6.2","81.8","72,910","Bachelor's degree","3","None","4","None","6"
"Hydrologic technicians    * Groundwater Monitoring Technician","=""19-4044""","3.1","3.0","-0.1","-2.1","0.4","58,570","Associate's degree","4","None","4","Moderate-term on-the-job training","4"
"Hydrologists    * Hydrogeologist* Isotope Hydrologist* Surface Hydrologist","=""19-2043""","6.3","6.3","0.0","-0.1","0.5","92,060","Bachelor's degree","3","None","4","None","6"
"Industrial engineering technologists and technicians    * Industrial Engineering Technician* Industrial Engineering Technologist* Motion Study Technician* Production Control Technologist* Time Study Technician* Time Study Technologist","=""17-3026""","74.6","75.9","1.3","1.7","6.3","64,790","Associate's degree","4","None","4","None","6"
"Industrial engineers    * Efficiency Engineer* Manufacturing Engineer* Packaging Engineer* Production Engineer","=""17-2112""","351.1","389.6","38.5","11.0","25.2","101,140","Bachelor's degree","3","None","4","None","6"
"Industrial machinery mechanics    * Bag Machine Adjuster* Boilerhouse Mechanic* Foundry Equipment Mechanic* Hydroelectric Machinery Mechanic* Industrial Conveyor Belt Repairer* Loom Fixer* Loom Technician","=""49-9041""","439.6","510.3","70.7","16.1","45.7","63,760","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Industrial production managers    * Industrial Production Manager* Manufacturing Director* Plant Chief* Plant Manager* Plant Superintendent* Production Control Manager","=""11-3051""","241.9","246.5","4.6","1.9","17.1","121,440","Bachelor's degree","3","5 years or more","1","None","6"
"Industrial truck and tractor operators    * Forklift Driver* Forklift Operator* Front-End Loader Operator* Hydraulic Lift Driver* Industrial Truck Operator* Reach-Lift Truck Driver* Stacker Operator","=""53-7051""","792.5","801.6","9.1","1.1","76.4","46,390","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Industrial-organizational psychologists    * Engineering Psychologist* Human Resources Psychologist* I/O Psychologist* Industrial Psychologist* Management Psychologist* Organizational Psychologist* Organizational Research Consultant* Personnel Research Psychologist","=""19-3032""","5.6","5.9","0.3","6.3","0.4","109,840","Master's degree","2","None","4","Internship/residency","1"
"Information and record clerks, all other    * Election Clerk* Flight Crew Scheduler* Probate Clerk* Student Admissions Clerk","=""43-4199""","153.3","153.0","-0.3","-0.2","17.8","48,360","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Information security analysts    * Computer Security Specialist* Computer Systems Security Analyst* IT Risk Specialist* Information Security Analyst* Information Systems Security Analyst* Network Security Analyst","=""15-1212""","182.8","234.9","52.1","28.5","16.0","124,910","Bachelor's degree","3","Less than 5 years","2","None","6"
"Inspectors, testers, sorters, samplers, and weighers    * Ampoule Examiner* Bag Grader* Cigarette Examiner* Compressed Gas Tester* Machined Parts Quality Inspector* Petroleum Sampler* Quality Assurance Inspector* Quality Control Inspector* Quality Inspector* Spark Plug Tester","=""51-9061""","598.0","598.1","0.1","0.0","69.9","47,460","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Installation, maintenance, and repair workers, all other    * Bowling Alley Mechanic* Curtain Mender* Fabric Awning Repairer* Fire Extinguisher Installer* Gasoline Pump Installer* Gunsmith* Hand-Woven Carpet and Rug Mender* Parachute Repairer* Sail Repairer* Ski Lift Mechanic* Tarp Repairer* Wheelwright* Window Shade Installer","=""49-9099""","221.2","226.5","5.4","2.4","21.5","48,640","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Instructional coordinators    * Curriculum Coordinator* Curriculum Designer* Curriculum Specialist* Curriculum and Assessment Director* Curriculum and Instruction Director* Instructional Materials Director* School Curriculum Developer* Special Education Curriculum Specialist","=""25-9031""","232.6","235.5","2.9","1.3","21.9","74,720","Master's degree","2","5 years or more","1","None","6"
"Insulation workers, floor, ceiling, and wall    * Ceiling Insulation Blower* Composition Weatherboard Installer* Cork Insulation Installer* Cork Insulator* Insulation Machine Operator* Interior Surface Insulation Worker* Wall Insulation Sprayer","=""47-2131""","40.2","41.7","1.5","3.8","3.4","48,680","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Insulation workers, mechanical    * Boiler Coverer* Heat and Frost Insulator* Pipe Coverer* Pipe Insulator* Refrigeration Insulator* Sheet Metal Insulator","=""47-2132""","27.2","28.5","1.3","4.7","2.3","57,250","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Insurance appraisers, auto damage    * Auto Damage Appraiser* Auto Damage Insurance Appraiser* Automobile Damage Appraiser* Vehicle Damage Appraiser","=""13-1032""","9.2","8.4","-0.8","-8.2","0.5","76,650","Postsecondary nondegree award","5","None","4","Moderate-term on-the-job training","4"
"Insurance claims and policy processing clerks    * Insurance Claims Clerk* Insurance Clerk* Insurance Examining Clerk* Insurance Policy Issue Clerk* Underwriting Assistant* Underwriting Clerk","=""43-9041""","256.7","247.2","-9.5","-3.7","20.3","48,450","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Insurance sales agents    * Health Insurance Sales Agent* Insurance Agent* Insurance Broker* Life Insurance Agent* Life Insurance Salesperson* Pension Agent","=""41-3021""","568.8","589.8","21.1","3.7","47.0","60,370","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Insurance underwriters    * Automobile and Property Underwriter* Bond Underwriter* Insurance Analyst* Insurance Underwriter* Insurance Writer* Underwriting Account Representative* Underwriting Service Representative","=""13-2053""","127.0","123.7","-3.3","-2.6","8.2","79,880","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Interior designers    * Certified Kitchen Designer* Furniture Arranger* Home Lighting Adviser* Interior Decorator* Interior Designer* Kitchen Designer* Kitchen and Bath Designer","=""27-1025""","87.1","89.9","2.8","3.2","7.8","63,490","Bachelor's degree","3","None","4","None","6"
"Interpreters and translators    * American Sign Language Interpreter* Court Interpreter* Deaf Interpreter* Diplomatic Interpreter* Language Translator* Translator","=""27-3091""","75.3","76.6","1.3","1.7","6.9","59,440","Bachelor's degree","3","None","4","None","6"
"Interviewers, except eligibility and loan    * Admitting Interviewer* Census Clerk* Census Taker* Field Enumerator* Market Research Interviewer* Outpatient Interviewing Clerk* Survey Interviewer* Telephone Interviewer","=""43-4111""","164.3","145.1","-19.1","-11.6","15.8","43,830","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Janitors and cleaners, except maids and housekeeping cleaners    * Building Custodian* Cleaning and Maintenance Worker* Custodial Worker* Custodian* Floor Cleaner* Heavy Duty Custodian* Industrial Plant Custodian* Janitor* Office Cleaner* School Custodian* Window Cleaner* Window Washer","=""37-2011""","2,447.7","2,495.5","47.8","2.0","351.3","35,930","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Jewelers and precious stone and metal workers    * Diamond Grader* Diamond Polisher* Diamond Setter* Facetor* Gem Cutter* Gemologist* Goldsmith* Jewelry Repairer* Jewelsmith* Lapidarist* Pewterer* Silversmith","=""51-9071""","35.1","33.2","-1.9","-5.5","4.0","49,140","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Judges, magistrate judges, and magistrates    * Administrative Court Justice* Circuit Court Judge* County Court Judge* Criminal Court Judge* District Court Judge* Jurist* Justice* Probate Judge* Trial Court Judge* Tribal Judge","=""23-1023""","27.3","28.0","0.7","2.5","0.9","156,210","Doctoral or professional degree","1","5 years or more","1","Short-term on-the-job training","5"
"Judicial law clerks    * Judicial Clerk","=""23-1012""","14.5","14.9","0.4","2.5","1.0","60,400","Doctoral or professional degree","1","None","4","None","6"
"Kindergarten teachers, except special education    * Bilingual Education Kindergarten Teacher* Kindergarten Teacher","=""25-2012""","117.2","115.2","-1.9","-1.6","12.8","61,430","Bachelor's degree","3","None","4","None","6"
"Labor relations specialists    * Employee Relations Specialist* Industrial Relations Analyst* Industrial Relations Specialist* Labor Relations Consultant* Labor Relations Representative* Union Representative","=""13-1075""","65.4","65.4","-0.1","-0.1","5.1","93,500","Bachelor's degree","3","Less than 5 years","2","None","6"
"Laborers and freight, stock, and material movers, hand    * Cargo Handler* Cart Pusher* Freight Handler* Grave Digger* Manufacturing Laborer* Material Handler* Package Handler* Shipping and Receiving Material Handler* Van Loader* Wharf Laborer","=""53-7062""","2,988.9","3,033.1","44.3","1.5","384.3","38,940","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Landscape architects    * Golf Course Architect* Golf Course Designer* Landscape Architect* Landscape Designer","=""17-1012""","21.8","22.6","0.8","3.5","1.7","79,660","Bachelor's degree","3","None","4","Internship/residency","1"
"Landscaping and groundskeeping workers    * Golf Course Laborer* Greenskeeper* Greenskeeper Laborer* Grounds Caretaker* Grounds Maintenance Worker* Hedge Trimmer* Lawn Care Worker* Lawn Caretaker* Lawn Maintenance Worker* Lawn Mower* Lawn Service Worker* Shrub Planter* Sod Layer","=""37-3011""","1,192.5","1,235.0","42.4","3.6","158.2","38,090","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic    * Engine Lathe Operator* Gear Cutter* Screw Machine Operator* Screw Machine Tool Setter","=""51-4034""","18.9","16.4","-2.6","-13.6","1.5","48,620","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Laundry and dry-cleaning workers    * Drycleaner* Launderer* Laundress* Laundry Attendant* Laundry Equipment Operator* Laundry Operator* Laundry Sorter* Laundry Worker* Precision Dyer","=""51-6011""","202.6","213.5","10.9","5.4","31.9","33,800","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Law teachers, postsecondary    * Constitutional Law Professor* Contracts Law Professor* Criminal Law Professor* Environmental Law Professor* Labor Law Professor* Torts Law Professor","=""25-1112""","29.5","30.2","0.6","2.2","2.2","126,650","Doctoral or professional degree","1","Less than 5 years","2","None","6"
"Lawyers    * Agency Legal Counsel* Assistant Attorney General* Assistant Corporation Counsel* Assistant Counsel* Associate Attorney* Attorney* Attorney At Law* Attorney General* Brief Writer* City Attorney* Civil Lawyer* Commonwealth Attorney* Corporate Attorney* Corporate Counsel* Corporate Counselor* County Attorney* Defense Attorney* Deputy Attorney General* Deputy Chief Counsel* District Attorney* Environmental Attorney* Estate Conservator* General Counsel* Insurance Attorney* Legal Counsel* Probate Lawyer* Prosecutor* Public Defender* Real Estate Attorney* Sports Attorney* Tax Attorney* Trial Attorney* Trial Lawyer","=""23-1011""","864.8","900.7","35.9","4.1","31.5","151,160","Doctoral or professional degree","1","None","4","None","6"
"Layout workers, metal and plastic    * Shipfitter* Shipfitter Apprentice","=""51-4192""","5.7","5.4","-0.3","-5.4","0.5","61,870","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Legal secretaries and administrative assistants    * Accredited Legal Secretary* Certified Legal Secretary Specialist* Law Secretary* Legal Administrative Assistant","=""43-6012""","156.3","147.3","-9.0","-5.8","19.6","54,140","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Legal support workers, all other    * Legal Technician","=""23-2099""","51.3","50.7","-0.6","-1.2","4.7","68,760","Associate's degree","4","None","4","None","6"
"Legislators    * City Alderman* City Council Member* Congressional Representative* Councilor* Legislator* Member of Congress* Selectman* Senator* Tribal Council Member","=""11-1031""","27.7","28.6","0.9","3.4","2.2","44,810","Bachelor's degree","3","Less than 5 years","2","None","6"
"Librarians and media collections specialists    * Acquisitions Librarian* Audio-Visual Collections Coordinator* Catalog Librarian* Children's Librarian* Collection Development Librarian* College Librarian* Electronic Resources Librarian* Film Librarian* Government Documents Librarian* High School Librarian* Interlibrary Loan Services Librarian* Law Librarian* Library Media Specialist* Medical Librarian* Multimedia Services Coordinator* Music Librarian* Periodicals Librarian* Record Librarian* Reference Librarian* Research Librarian* School Librarian* Serials Librarian* Technical Services Librarian* University Librarian* Youth Services Librarian","=""25-4022""","142.1","144.5","2.4","1.7","13.5","64,320","Master's degree","2","None","4","None","6"
"Library assistants, clerical    * Book Sorter* Braille and Talking Books Clerk* Circulation Clerk* Film Library Clerk* Library Aide* Library Assistant* Library Circulation Clerk* Library Clerk* Medical Library Assistant* Microfilm Clerk","=""43-4121""","84.5","78.9","-5.6","-6.7","12.8","36,010","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Library science teachers, postsecondary    * Library and Information Science Professor* Library and Information Technology Instructor* Medical Records Library Professor","=""25-1082""","5.1","5.3","0.2","3.0","0.4","78,630","Doctoral or professional degree","1","None","4","None","6"
"Library technicians    * Cataloging Library Technical Assistant* Library Acquisitions Technician* Library Cataloging Technician* Library Circulation Technician* Library Technical Assistant* Serials or Bindery Library Technical Assistant","=""25-4031""","78.6","73.2","-5.4","-6.8","13.0","39,970","Postsecondary nondegree award","5","None","4","None","6"
"Licensed practical and licensed vocational nurses    * LP Nurse* LPN* LVN* Licensed Practical Nurse* Licensed Vocational Nurse* Pediatric Licensed Practical Nurse* Triage Licensed Practical Nurse","=""29-2061""","651.4","668.5","17.1","2.6","54.4","62,340","Postsecondary nondegree award","5","None","4","None","6"
"Life scientists, all other    * Life Science Taxonomist","=""19-1099""","7.8","8.1","0.3","3.7","0.4","87,800","Bachelor's degree","3","None","4","None","6"
"Life, physical, and social science technicians, all other    * Meteorological Aide* Polygraph Examiner","=""19-4099""","83.2","86.2","2.9","3.5","10.6","60,130","Associate's degree","4","None","4","None","6"
"Lifeguards, ski patrol, and other recreational protective service workers    * Beach Lifeguard* Certified Ski Patroller* Life Guard* OEC Technician* Outdoor Emergency Care Technician* Pool Lifeguard* Ski Patrol","=""33-9092""","149.7","158.4","8.7","5.8","42.7","33,720","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Light truck drivers    * Grocery Light Truck Driver* Parcel Truck Driver","=""53-3033""","1,079.8","1,158.6","78.9","7.3","120.2","44,140","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Lighting technicians    * Dimmer Board Operator* Gaffer* Lamp Operator* Spotlight Operator","=""27-4015""","12.1","11.5","-0.6","-4.6","0.8","60,560","Postsecondary nondegree award","5","None","4","Short-term on-the-job training","5"
"Loading and moving machine operators, underground mining    * Coal Hauler Operator* Coke Loader* Joy Loader* Load Haul Dump Operator* Mine Shuttle Car Operator* Mobile Bridge Conveyor Operator","=""47-5044""","6.4","5.0","-1.4","-22.3","0.5","68,860","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Loan interviewers and clerks    * Loan Interviewer* Loan Processor* Mortgage Closing Clerk* Mortgage Loan Closer* Mortgage Loan Processing Clerk* Mortgage Loan Processor* Mortgage Processor","=""43-4131""","177.6","173.5","-4.1","-2.3","13.3","48,950","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Loan officers    * Branch Lending Officer* Commercial Lender* Loan Analyst* Loan Officer* Loan Reviewer* Payday Loan Officer* Real Estate Loan Officer","=""13-2072""","301.4","306.5","5.0","1.7","20.3","74,180","Bachelor's degree","3","Less than 5 years","2","Moderate-term on-the-job training","4"
"Locker room, coatroom, and dressing room attendants    * Athletic Equipment Manager* Bathhouse Attendant* Checkroom Attendant* Cloak Room Attendant* Coat Checker* Ladies Locker Room Attendant* Locker Room Attendant* Locker Room Manager* Locker Room Supervisor* Washroom Attendant","=""39-3093""","15.6","16.6","1.0","6.4","4.2","34,800","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Locksmiths and safe repairers    * Key Maker* Keysmith* Lock Expert* Lock Fitter* Lock Setter* Lock Technician* Locksmith* Safe and Vault Installer* Safe and Vault Mechanic","=""49-9094""","18.8","17.2","-1.6","-8.3","1.7","50,490","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Locomotive engineers    * Freight Engineer* Railroad Engineer* Railway Engineer* Train Engineer","=""53-4011""","27.0","27.2","0.2","0.7","2.2","77,400","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"Lodging managers    * Bed and Breakfast Innkeeper* Boardinghouse Keeper* Hotel Director* Hotel Manager* Hotel Operations Manager* Innkeeper* Lodging Facilities Manager","=""11-9081""","52.0","53.8","1.8","3.4","5.4","68,130","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Log graders and scalers    * Log Check Scaler* Log Grader* Log Scaler* Log Sorter* Timber Estimator* Veneer Grader","=""45-4023""","4.6","4.6","0.0","-0.7","0.6","46,710","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Logging equipment operators    * Combination Slasher-Loader Operator* Delimber Operator* Feller Buncher Operator* Feller Operator* Grapple Operator* Grapple Skidder Operator* Loader Operator* Log Chipper Operator* Log Hauler* Log Loader Operator* Log Processor Operator* Log Stacker Operator* Logging Cable Skidder Operator* Logging Clam Bunk Operator* Logging Crane Operator* Logging Excavator Operator* Logging Forwarder Operator* Logging Operating Engineer* Logging Shovel Operator* Logging Slasher Operator* Logging Tractor Operator* Lumber Stacker Operator* Timber Harvester Operator* Tree Crusher Operator* Tree-Shear Operator","=""45-4022""","30.9","30.5","-0.4","-1.4","4.2","49,210","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Logging workers, all other    * Log Cutter* Log Peeler* Log Roper* Logging Laborer* Logging Swamper* Rigging Slinger* Timber Hand","=""45-4029""","3.1","3.0","-0.1","-4.7","0.4","52,000","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Logisticians    * Logistician* Logistics Analyst* Logistics Coordinator* Logistics Planner* Logistics Specialist","=""13-1081""","241.0","281.3","40.3","16.7","26.4","80,880","Bachelor's degree","3","None","4","None","6"
"Machine feeders and offbearers    * Brick Offbearer* Chain Offbearer* Chopper Feeder* Doffer* Dryer Feeder* Hopper Feeder* Hopper Filler* Line Feeder* Offbearer* Packing Machine Can Feeder* Spike Machine Feeder* Spinning Doffer* Spooler Operator","=""53-7063""","46.5","40.4","-6.0","-13.0","4.7","39,700","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Machinists    * Automotive Machinist* CNC Machinist* Gear Machinist* Manual Lathe Machinist* Precision Machinist* Production Machinist* Tool Room Machinist","=""51-4041""","299.5","299.6","0.0","0.0","29.5","56,150","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Magnetic resonance imaging technologists    * Computed Tomography/Magnetic Resonance Imaging (CT/MRI) Technologist* MRI Technologist","=""29-2035""","44.1","47.2","3.1","7.1","2.6","88,180","Associate's degree","4","Less than 5 years","2","None","6"
"Maids and housekeeping cleaners    * Chambermaid* Cleaning Maid* Cottage Attendant* Domestic Maid* House Cleaner* Housekeeping Aide* Housekeeping Staff* Motel Maid* Ward Maid","=""37-2012""","1,356.8","1,362.8","6.0","0.4","193.5","34,660","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Mail clerks and mail machine operators, except postal service    * Direct Mail Clerk* Mailroom Clerk* Packaging Clerk","=""43-9051""","67.4","62.9","-4.4","-6.6","6.9","38,150","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Maintenance and repair workers, general    * Building Maintenance Mechanic* Building Mechanic* Building Services Mechanic* Facilities Maintenance Worker* General Maintenance Worker* Maintenance Mechanic* Mechanics Handyman* Plant Maintenance Technician","=""49-9071""","1,629.7","1,692.1","62.4","3.8","159.8","48,620","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Maintenance workers, machinery    * Crane Oiler","=""49-9043""","57.5","55.9","-1.6","-2.8","4.8","60,500","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Makeup artists, theatrical and performance    * Special Effects Makeup Artist","=""39-5091""","7.0","7.6","0.6","8.1","1.1","50,280","Postsecondary nondegree award","5","None","4","None","6"
"Management analysts    * Business Analyst* Business Consultant* Business Management Analyst* Business Process Consultant* Clerical Methods Analyst* Commercial Specialist* Industrial Analyst* Management Consultant* Records Management Analyst* University Institutional Researcher","=""13-1111""","1,075.1","1,169.7","94.5","8.8","98.1","101,190","Bachelor's degree","3","Less than 5 years","2","None","6"
"Managers, all other    * Clerk of Court* Environmental Control Administrator* Highway Patrol Commander* Safety Coordinator* Social Science Manager* Utilities Manager","=""11-9199""","1,333.7","1,393.5","59.8","4.5","106.7","136,550","Bachelor's degree","3","Less than 5 years","2","None","6"
"Manicurists and pedicurists    * Fingernail Sculptor* Nail Technician* Pedicurist","=""39-5092""","210.1","224.8","14.7","7.0","24.8","34,660","Postsecondary nondegree award","5","None","4","None","6"
"Manufactured building and mobile home installers    * Housetrailer Servicer* Mobile Home Mechanic* Mobile Home Servicer* Mobile Home Technician* Modular Home Crew Member","=""49-9095""","3.1","3.3","0.2","5.9","0.3","41,080","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Marine engineers and naval architects    * Marine Architect* Marine Equipment Engineer* Marine Structural Designer* Naval Engineer* Ships Equipment Engineer","=""17-2121""","8.5","9.0","0.5","5.8","0.6","105,670","Bachelor's degree","3","None","4","None","6"
"Market research analysts and marketing specialists    * Advertising Analyst* Market Research Analyst* Market Research Specialist* Marketing Analyst* Marketing Consultant* Marketing Forecaster* Marketing Specialist* Search Marketing Strategist","=""13-1161""","941.7","1,004.7","63.0","6.7","87.2","76,950","Bachelor's degree","3","None","4","None","6"
"Marketing managers    * Internet Marketing Manager* Marketing Administrator* Marketing Director* VP Marketing","=""11-2021""","407.0","433.7","26.7","6.6","34.3","161,030","Bachelor's degree","3","5 years or more","1","None","6"
